Strike,Ticker,Bid,Ask,Last,IVM,Volm,Strike,Ticker,Bid,Ask,Last,IVM,Volm
5700,SPX 1/15/27 C5700,1555.899902,1561.099854,0,23.57163239,0,5700,SPX 1/15/27 P5700,136.5,137.8999939,146.25,23.88734055,0
5725,SPX 1/15/27 C5725,1534.099854,1540.800049,0,23.45873642,0,5725,SPX 1/15/27 P5725,139.1999969,140.8000031,136.6000061,23.75165749,0
5750,SPX 1/15/27 C5750,1513.699951,1518.800049,0,23.33268166,0,5750,SPX 1/15/27 P5750,142.3999939,143.8000031,139.7299957,23.63113785,0
5775,SPX 1/15/27 C5775,1492.099854,1498.699951,1435.579956,23.22445107,0,5775,SPX 1/15/27 P5775,145.1999969,146.8000031,154.9700012,23.49489212,0
5800,SPX 1/15/27 C5800,1468.599854,1480.199951,1432.170044,23.10317039,0,5800,SPX 1/15/27 P5800,148.5,149.8999939,158.2100067,23.37326813,0
5825,SPX 1/15/27 C5825,1450.300049,1456.800049,1331.349976,22.98709488,0,5825,SPX 1/15/27 P5825,151.5,153.1000061,150,23.24211693,0
5850,SPX 1/15/27 C5850,1430.199951,1435.099854,1362.199951,22.86423492,0,5850,SPX 1/15/27 P5850,155,156.3000031,152.1999969,23.122015,0
5875,SPX 1/15/27 C5875,1408.800049,1415.199951,1325.030029,22.75208855,0,5875,SPX 1/15/27 P5875,158,159.6000061,171.1999969,22.98675537,0
5900,SPX 1/15/27 C5900,1388.800049,1393.699951,1379.939941,22.63026428,0,5900,SPX 1/15/27 P5900,161.6000061,163,174.6999969,22.86785126,0
5925,SPX 1/15/27 C5925,1365,1376.300049,0,22.51307869,0,5925,SPX 1/15/27 P5925,164.8000031,166.3999939,163.8000031,22.73401833,0
5950,SPX 1/15/27 C5950,1344.5,1355.699951,1326.650024,22.39512062,0,5950,SPX 1/15/27 P5950,168.5,170.1000061,170.4900055,22.61867905,0
5975,SPX 1/15/27 C5975,1326.599854,1332.800049,1306.099976,22.28275871,0,5975,SPX 1/15/27 P5975,171.8999939,173.6999969,169.3999939,22.49033546,0
6000,SPX 1/15/27 C6000,1306.800049,1311.599854,1257.170044,22.16082764,0,6000,SPX 1/15/27 P6000,175.6999969,177.1999969,190.5399933,22.36620331,0
6025,SPX 1/15/27 C6025,1285.899902,1292,1265.839966,22.04814148,0,6025,SPX 1/15/27 P6025,179.1999969,180.8999939,176.8000031,22.23552132,0
6050,SPX 1/15/27 C6050,1266.199951,1270.899902,1157.699951,21.92338181,0,6050,SPX 1/15/27 P6050,183.1999969,184.6999969,198.8699951,22.11666107,0
